,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState6,NHOHCount,NOCount,MolLogP,fr_NH2
28,29,5.153737158,10.68935185,-1.127314815,10.68935185,-0.149808157,14.43130987,0.0,19.12047451,63.68,12.01114612,14.38361155,7.047671983,4.736862954,-1.127314815,0,5,-1.1849,0
29,30,4.811271857,10.33787415,-1.016018519,10.33787415,-0.132291799,14.84818874,0.0,19.12047451,72.47,6.227901171,14.38361155,6.9237372,10.05365156,0.0,1,5,-1.137,0
30,31,4.816559178,10.33787415,-1.016018519,10.33787415,-0.132291799,14.84818874,0.0,19.12047451,72.47,6.227901171,14.38361155,6.9237372,10.05365156,0.0,1,5,-1.137,0
31,32,5.505577527,10.18439815,-1.207175926,10.18439815,-0.157869156,10.57125606,0.0,19.22120014,98.49,17.78366475,14.38361155,5.480096598,10.57125606,0.0,3,6,-1.934,1
32,33,5.368779097,10.78347222,-1.178240741,10.78347222,-0.138610155,11.05045608,0.0,14.38361155,89.26,23.51551045,14.38361155,0.0,11.89572429,0.0,3,5,-1.6995,1
33,34,4.994055093,12.24712963,-2.153148148,12.24712963,-0.123487117,20.11411937,6.9237372,24.50453442,77.76,24.48357456,9.184952232,6.9237372,0.0,0.0,3,4,-1.374,0
34,35,5.231773404,10.1353151,-1.526666667,10.1353151,-0.142682937,29.95750972,0.0,29.95750972,107.22,31.02274752,9.901064579,7.109797541,4.736862954,0.0,4,6,-2.7247,0
35,36,5.2514992,10.1353151,-1.526666667,10.1353151,-0.142682937,29.95750972,0.0,29.95750972,107.22,31.02274752,9.901064579,7.109797541,4.736862954,0.0,4,6,-2.7247,0
36,37,5.218283634,10.05587113,-1.085787037,10.05587113,-0.169217857,19.37479049,0.0,24.16932767,72.83,19.00087508,9.589074368,7.109797541,9.473725908,0.0,1,5,-1.2658,0
37,38,5.239748774,10.1353151,-1.526666667,10.1353151,-0.142682937,29.95750972,0.0,29.95750972,107.22,31.02274752,9.901064579,7.109797541,4.736862954,0.0,4,6,-2.7247,0
38,39,5.080626226,9.789578609,-1.231296296,9.789578609,-0.112913765,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.322,0
39,40,4.944452747,9.72962963,-1.481481481,9.72962963,-0.124642341,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.7121,0
40,41,4.970603197,9.72962963,-1.481481481,9.72962963,-0.124642341,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.7121,0
41,42,4.885877583,9.536296296,-1.222222222,9.536296296,-0.118917718,15.00759197,6.9237372,15.00759197,57.53,12.20793278,4.794537184,6.9237372,0.0,0.0,2,3,-1.073,0
42,43,4.86245562,9.536296296,-1.222222222,9.536296296,-0.118917718,15.00759197,6.9237372,15.00759197,57.53,12.20793278,4.794537184,6.9237372,0.0,0.0,2,3,-1.073,0
43,44,4.947305021,9.72962963,-1.481481481,9.72962963,-0.124642341,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.7121,0
44,45,4.882186581,9.72962963,-1.481481481,9.72962963,-0.124642341,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.7121,0
45,46,5.1512914,10.36779856,-2.105509259,10.36779856,-0.173217264,19.88823196,0.0,29.47730633,145.1,24.14654335,9.589074368,0.0,21.46912811,0.0,6,8,-3.458,2
46,47,5.501267494,11.2262037,-0.707173091,11.2262037,0.095214623,10.30076712,0.0,4.794537184,94.82,17.15619002,14.38361155,6.076020107,16.87970281,1.013712207,3,6,-1.021,0
47,48,4.938508103,8.59837963,-1.090277778,8.59837963,0.00963755,15.31958218,0.0,15.31958218,60.69,18.81481474,0.0,6.076020107,6.578935684,0.0,3,3,-1.1135,0
48,49,5.858864023,10.16082483,-0.206851852,10.16082483,-0.118197147,16.25770911,0.0,10.00179021,87.71,0.0,4.794537184,6.9237372,10.47250133,0.0,4,5,-1.1311,1
49,50,5.106300202,9.196697531,-1.320925926,9.196697531,-0.204725439,25.16297253,0.0,25.16297253,90.15,36.45874589,10.21305479,0.0,12.62878915,0.0,4,5,-2.2839,0
50,51,5.263325858,10.12017668,-1.372685185,10.12017668,-0.13145528,24.85098232,0.0,24.85098232,86.99,24.91878113,4.794537184,7.109797541,4.736862954,0.0,3,5,-2.0856,0
51,52,4.938782108,10.28726379,-2.023518519,10.28726379,-0.147019537,30.95431424,0.0,30.01518395,141.08,30.32304528,9.589074368,0.0,5.733667477,0.0,6,7,-3.8858,1
52,53,5.33471716,6.299907407,-0.666666667,6.299907407,0.435060452,0.0,0.0,0.0,112.31,6.289710395,0.0,0.0,15.96583292,0.0,7,6,-1.77243,2
53,54,5.126943536,10.02142621,-1.615555556,10.02142621,-0.117790665,30.95431424,0.0,25.22064676,124.01,30.96062196,4.794537184,0.0,0.0,-1.262777778,6,6,-3.4124,1
54,55,4.873956222,9.72962963,-1.481481481,9.72962963,-0.124642341,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.7121,0
55,56,5.24313978,10.53166667,-0.449074074,10.53166667,0.227012421,16.36724469,0.0,4.794537184,84.71,6.031114512,4.794537184,4.899909731,4.992404733,-0.449074074,4,5,-1.0586,2
