,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MWHI,BCUT2D_MRLOW,Chi1v,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA1,SlogP_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState3,VSA_EState6,NHOHCount,NOCount,NumHeteroatoms,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_NH2
19,20,4.87081034,9.72962963,-1.481481481,9.72962963,16.36231088,-0.124642341,2.587649199,20.11411937,0.0,6.9237372,6.103966388,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,25.73601852,0.0,3,4,4,-1.7121,29.7584,3,3,0
20,21,5.132223449,9.420462963,-1.541828704,9.420462963,16.6274436,-0.208922128,4.048030722,30.26949993,0.0,0.0,6.606881965,30.26949993,0.0,113.68,36.12088275,25.53263697,0.0,0.0,46.53023148,0.0,5,6,6,-3.4265,38.717,5,5,0
21,22,5.139834813,9.420462963,-1.541828704,9.420462963,16.6274436,-0.208922128,4.048030722,30.26949993,0.0,0.0,6.606881965,30.26949993,0.0,113.68,36.12088275,25.53263697,0.0,0.0,46.53023148,0.0,5,6,6,-3.4265,38.717,5,5,0
22,23,5.15136447,10.05587113,-1.085787037,10.05587113,16.68410537,-0.169217857,2.977902316,19.37479049,0.0,0.0,6.606881965,24.16932767,0.0,72.83,19.00087508,9.589074368,7.109797541,9.473725908,8.438215231,0.0,1,5,5,-1.2658,34.8838,1,1,0
23,24,5.101478231,10.31517621,-1.548472222,10.31517621,16.37509695,-0.119477815,3.856783454,30.53743537,0.0,7.047671983,12.64872279,25.22064676,5.316788604,110.02,30.96062196,9.901064579,7.047671983,5.316788604,38.24913029,-0.961851852,5,6,6,-3.1517,44.0179,4,4,0
24,25,5.555032651,10.06055556,-0.783518519,10.06055556,16.46678939,-0.124139266,2.081213825,5.733667477,0.0,0.0,0.0,14.79632739,11.21376408,92.42,11.81435946,9.589074368,5.480096598,5.733667477,7.844760015,0.0,4,5,5,-1.4667,28.2636,0,0,1
25,26,4.891804954,9.72962963,-1.481481481,9.72962963,16.36231088,-0.124642341,2.587649199,20.11411937,0.0,6.9237372,6.103966388,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,25.73601852,0.0,3,4,4,-1.7121,29.7584,3,3,0
26,27,5.022903868,9.995597128,-1.733611111,9.995597128,16.36413379,-0.129374734,3.24600119,30.64232403,0.0,0.0,6.041840829,24.90865655,5.733667477,120.85,24.35373999,9.589074368,0.0,0.0,26.57190665,-1.310555556,5,6,6,-3.2058,38.1238,3,3,1
27,28,5.695511275,10.25703704,-1.350694444,10.25703704,16.3676396,-0.42653247,2.947306302,21.36839953,6.578935684,5.57310453,6.420821623,20.42926924,16.57386235,110.86,17.91832585,14.69560176,0.0,12.31260316,10.13566893,-1.06712963,5,5,5,-3.2216,34.6345,0,0,1
28,29,5.153737158,10.68935185,-1.127314815,10.68935185,16.52569011,-0.149808157,2.873520945,14.43130987,0.0,0.0,7.109797541,19.12047451,0.0,63.68,12.01114612,14.38361155,7.047671983,4.736862954,0.0,-1.127314815,0,5,5,-1.1849,35.695,0,0,0
