,index,ln_abs_c_interface_mean,MinEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,TPSA,MolLogP
70,71,4.909645076,-1.052962963,-0.279832505,24.79330809,79.15,-1.2921
71,72,4.938041866,-1.052962963,-0.279832505,24.79330809,79.15,-1.2921
72,73,4.940085514,-1.052962963,-0.279832505,24.79330809,79.15,-1.2921
73,74,4.700114815,-1.159583333,-0.246717445,19.6867807,75.99,-1.0839
74,75,5.359638107,-3.52337963,0.59652619,0.0,99.86,-1.5333
75,76,5.051415087,-1.136643519,-0.131074081,20.63637079,89.79,-1.7733
76,77,4.189966046,-1.001157407,-0.128368627,15.52984339,69.56,-1.1358
77,78,5.087211956,-1.787222222,-0.18538588,25.16297253,90.15,-1.412
78,79,5.258427051,-0.58625,0.480755869,10.09050592,90.88,-0.7395
79,80,4.129077278,-0.618132559,-0.138417036,15.37044016,67.43,-1.1149
80,81,4.095594893,-0.637867536,-0.138496902,15.37044016,67.43,-1.505
81,82,4.837442923,-0.475470522,0.035705359,15.78731903,67.59,-1.0556
82,83,5.49167666,-1.116898148,-0.683555528,20.95152066,99.83,-3.684
83,84,5.131059164,-0.590277778,-0.130050446,16.20419791,95.41,-1.4734
84,85,4.97760811,-0.368055556,-0.14215269,4.736862954,72.63,-1.2015
85,86,5.096688482,0.653333333,0.842488642,9.799819462,57.58,-1.0934
86,87,4.645041534,0.798611111,0.464004103,5.316788604,55.63,-1.2237
87,88,4.589762763,0.9375,0.44309471,0.0,36.09,-1.3587
88,89,4.597039849,0.550925926,0.483459425,0.0,87.2,-1.9304
89,90,4.952388647,-0.538055556,-0.119717424,15.16017895,58.56,-1.1178
90,91,5.223582532,-0.907175926,-0.202083768,20.26670635,78.79,-1.0208
91,92,5.026155603,-0.552075775,-0.119892286,19.89704191,67.79,-1.3504
92,93,5.500047563,-0.995185185,-0.142885401,0.0,83.55,-1.7361
93,94,5.515075391,-0.995185185,-0.142885401,0.0,83.55,-1.7361
94,95,5.016151144,0.014444444,0.110971525,10.21305479,43.7,-1.1397
95,96,5.396554048,-0.203703704,-0.139689741,10.63357721,46.33,-1.2143
96,97,5.294301405,-0.744027778,-0.123531494,10.21305479,60.77,-1.2463
97,98,4.538520861,-0.173611111,0.265727005,15.19703331,82.03,-1.2107
98,99,5.134270491,-0.793402778,-0.143756459,15.78731903,64.35,-1.1498
99,100,5.256432486,-1.21412037,-0.214699157,25.79011262,95.94,-2.2274
100,101,4.903659104,-1.189814815,0.13075111,5.207253025,87.71,-1.0261
101,102,5.23943279,-1.21412037,-0.214699157,25.79011262,95.94,-2.2274
102,103,4.790589732,-0.479166667,-0.121708899,15.78731903,64.35,-1.5399
103,104,4.750039288,-0.479166667,-0.121708899,15.78731903,64.35,-1.5399
104,105,5.195233713,-1.158888889,-0.100511716,25.74289818,92.95,-2.9668
105,106,5.309285378,-1.346712963,-0.248306319,30.89664001,116.17,-3.255
106,107,5.285684961,-1.346712963,-0.248306319,30.89664001,116.17,-3.255
107,108,5.232995314,-0.712962963,-0.120321322,16.15698348,75.35,-2.1956
108,109,4.29119192,-0.810185185,-0.123443564,16.15698348,75.35,-1.5595
109,110,5.384622631,-0.991189531,-0.13692179,16.0344346,100.87,-1.4888
110,111,4.904233878,-0.452546296,-0.124835985,16.20419791,78.34,-1.4105
111,112,5.010637027,-0.399166667,-0.116947426,5.733667477,84.66,-1.1675
112,113,4.786548147,-0.552685185,-0.119477586,16.20419791,81.58,-1.8688
113,114,5.839969523,-1.041666667,-0.664686509,20.95152066,82.76,-3.6007
114,115,5.662350189,-1.017361111,-0.63782176,20.95152066,82.76,-3.7432
115,116,5.234835108,-1.190972222,-0.184381484,25.79011262,95.94,-2.6159
116,117,5.344745927,-1.245740741,-0.216576958,30.99736564,128.2,-3.2685
117,118,5.323849175,-1.245740741,-0.216576958,30.99736564,128.2,-3.2685
118,119,5.33939934,-1.245740741,-0.216576958,30.99736564,128.2,-3.2685
119,120,5.830451191,-1.041666667,-0.664686509,20.95152066,82.76,-3.6007
120,121,5.84427559,-1.041666667,-0.664686509,20.95152066,82.76,-3.6007
121,122,6.046848661,-0.997268519,-0.664430626,20.95152066,82.76,-3.6007
122,123,5.682794225,-1.017361111,-0.63782176,20.95152066,82.76,-3.7432
123,124,5.665057308,-1.017361111,-0.63782176,20.95152066,82.76,-3.7432
124,125,5.23782595,-1.190972222,-0.184381484,25.79011262,95.94,-2.6159
125,126,5.25283178,-0.094907407,-0.117846277,10.84019487,63.32,-1.1034
126,127,5.570730429,-1.317777778,-0.435827371,21.36839953,110.86,-3.7353
127,128,5.575958239,-1.317777778,-0.435827371,21.36839953,110.86,-3.7353
128,129,4.231644608,-0.810185185,-0.123443564,16.15698348,75.35,-1.5595
129,130,5.18901563,-0.575549887,0.043414555,15.11296452,46.94,-1.413
130,131,5.113436263,-0.793402778,-0.143756459,15.78731903,64.35,-1.1498
131,132,5.149344698,-0.575549887,0.043414555,15.11296452,46.94,-1.413
132,133,5.32426774,-0.744027778,-0.123531494,10.21305479,60.77,-1.2463
133,134,4.692895961,-0.168703704,-0.12123156,15.7401046,78.43,-1.3789
134,135,4.583274526,-1.480185185,-0.131054626,20.846632,98.66,-2.1046
135,136,4.519915565,-1.480185185,-0.131054626,20.846632,98.66,-2.1046
136,137,4.985345455,-0.56712963,-0.125283257,11.05045608,72.19,-1.0037
137,138,4.609125147,-1.480185185,-0.131054626,20.846632,98.66,-2.1046
138,139,4.975907263,-1.260138889,-0.136727791,20.63637079,89.79,-1.5257
139,140,4.985099141,-1.260138889,-0.136727791,20.63637079,89.79,-1.5257
140,141,4.365437054,-0.616759259,-0.138744007,15.37044016,67.43,-1.1149
141,142,5.075100872,-0.7075,-0.1387154,15.7401046,78.43,-1.769
142,143,4.779584329,-0.618055556,-0.138082378,10.63357721,58.2,-1.5216
