EGsmlie2D,E,R,SA
OC[C@H]1N[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,5.207134125,30.30456939,4.395181258
OC[C@@H](O)[C@H]1O[C@H](O)[C@@H](O)[C@H]1O,5.196327484,29.43941145,4.018869595
C[C@@H]1C(=O)N(C)C(=O)[C@H]1N,5.113125052,31.45236254,3.66978495
C[NH2+]C[C@@H](N)C(=O)[O-],5.6912633,33.88195382,5.890397555
C[C@H]1C(=O)N(C)C(=O)[C@H]1N,5.113125052,31.45236254,3.66978495
COC(=O)C(N)=O,5.161993288,34.01584383,2.424145758
COC(=O)C1=C(C(=O)OC)NNC1,4.647802234,31.06718489,3.180144805
COC(=O)C1C[C@H](O)C(O)[C@H](O)C1,5.115475767,30.02664552,3.613790525
C[C@@H]1COC[C@H](C(N)=O)N1,5.159340059,31.98601459,3.84880136
COC(=O)N[C@@H](CO)C(=O)OC,5.12490809,30.80712956,2.424701208
COC(=O)[C@@H](CO)NC(C)=O,4.544489968,29.29355914,2.384385275
COC(=O)[C@@H](O)[C@@H](N)C(=O)OC,5.18025845,32.52376777,3.165286376
COC(=O)[C@@H](O)[C@H](O)[C@H](O)CO,5.174380431,29.26514882,3.376807703
COC(=O)[C@@H](O)[C@@H](O)CO,5.158216898,30.35339936,3.182527719
COC(=O)[C@@H](O)[C@@H](O)[C@H](O)CO,5.174380431,29.26514882,3.376807703
COC(=O)[C@@H](O)NC(N)=O,5.123501074,34.00108728,3.060389053
C[C@@H]1COC[C@@H](C(N)=O)N1,5.159340059,31.98601459,3.84880136
COC(=O)[C@@H]1C[C@@H](O)C(=O)N1,4.905392015,29.68702612,3.57403454
COC(=O)[C@@H]1C[C@H](O)C(=O)N1,4.905392015,29.68702612,3.57403454
COC(=O)[C@@](C)(O)CO,4.952720814,28.92577057,3.140086323
COC(=O)[C@H](O)NC(N)=O,5.123501074,34.00108728,3.060389053
COC(=O)[C@H]1NC(=O)CNC1=O,5.147727696,29.94502415,3.336670594
COC(=O)[C@H]1O[C@@H]1CO,4.91857807,28.85062827,3.365657437
COC(=O)c1n[nH]nc1CC(N)=O,5.180936865,32.79042789,2.864116234
COC(CNC(=O)C(N)=O)OC,5.027485607,32.13963239,2.556609055
COC1[C@@H](O)[C@@H](O)C(O)[C@@H](O)[C@H]1O,5.174190038,29.54756591,3.644804868
COC1[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H]1O,5.174190038,29.54756591,3.644804868
COCC[C@H](O)[C@H](O)CO,5.05256508,28.43727198,3.202427199
COC[C@H]1NC(=O)NC1=O,5.070166067,29.98685737,3.173608335
C[NH+](C)[C@H](CC(N)=O)C(=O)[O-],5.787508907,32.54686333,5.196195715
CO[C@@H]1C[C@H](O)[C@H](O)[C@H](CO)O1,4.932724159,29.1037871,3.747524067
CO[C@@H]1C[C@H](O)[C@@H](O)[C@@H](CO)O1,4.932724159,29.1037871,3.747524067
CO[C@@H]1[C@@H](O)[C@@H](O)O[C@@H](CO)[C@H]1O,5.212218176,29.27916592,3.751020667
CO[C@@]1(CO)OC[C@@H](O)[C@@H](O)[C@@H]1O,5.169507321,29.50235043,4.222341204
