,index,Water_all_overlap_factor_100,Chi0n,Chi2n,Chi3n,HallKierAlpha,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,fr_Al_OH,fr_NH2,fr_ether
41,42,29.8067916,4.034726289,1.367278672,0.633679734,-0.41,0.0,0.0,0.0,0.0,28.70714809,57.53,0.0,2,2,0,0
42,43,29.7316448,4.034726289,1.367278672,0.633679734,-0.41,0.0,0.0,0.0,0.0,28.70714809,57.53,0.0,2,2,0,0
43,44,28.4680699,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
44,45,28.2179808,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
45,46,39.4668594,5.83682143,1.763448068,1.014363045,-1.22,11.79395094,11.79395094,0.0,11.79395094,34.35959814,145.1,0.0,6,2,2,0
46,47,34.4293967,7.293658972,2.500087738,1.411944749,-2.11,0.0,0.0,6.544756406,16.5657989,22.41989318,94.82,-1.389485072,3,0,0,0
47,48,28.3760693,4.487905156,1.476216578,0.822775914,-0.38,0.0,0.0,6.606881965,0.0,34.13439692,60.69,0.0,3,3,0,0
48,49,37.2669885,5.087132532,1.501077082,0.646898546,-1.26,0.0,10.8893802,6.544756406,11.05045608,23.49480895,87.71,5.006527778,4,0,1,0
49,50,29.7367081,6.238174395,2.719449317,1.86705949,0.15,0.0,0.0,6.606881965,0.0,56.88485547,90.15,-0.874490741,4,4,0,1
50,51,28.4911043,6.174645225,2.076914958,1.324175288,-0.49,0.0,0.0,13.71667951,0.0,53.63432138,86.99,0.0,3,3,0,1
51,52,31.1622838,6.569452578,2.455066461,1.454246485,-1.02,0.0,5.733667477,0.0,5.733667477,57.03531538,141.08,4.586273148,6,4,1,0
52,53,44.2281517,3.679264403,0.864969235,0.44483731,-0.56,5.114250126,16.79959067,0.0,22.53692333,6.289710395,112.31,10.52212963,7,0,2,0
53,54,29.5565926,6.368311069,2.444539837,1.482683922,-0.53,0.0,5.733667477,6.606881965,5.733667477,57.67289206,124.01,5.039091081,6,4,1,0
54,55,28.5807148,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
55,56,31.1082009,5.45737602,1.713670332,0.607317177,-1.26,4.992404733,16.45973969,14.09534397,11.46733495,30.98592278,84.71,9.822777778,4,0,2,0
56,57,29.3529129,6.238174395,2.719449317,1.86705949,0.15,0.0,0.0,6.606881965,0.0,56.88485547,90.15,-0.874490741,4,4,0,1
57,58,33.7758585,4.524563865,1.108986171,0.675973469,-0.48,5.114250126,5.114250126,14.09534397,10.63357721,20.38505436,60.27,6.459907407,3,0,0,0
58,59,31.5391879,5.47177746,1.755054898,0.869622637,-0.48,5.114250126,5.114250126,21.14301595,5.316788604,32.33263607,51.48,6.611157407,2,0,0,0
59,60,30.2279882,7.255274008,2.418500583,1.101593008,-1.1,0.0,0.0,13.08951281,10.63357721,36.11436605,78.43,0.0,3,1,0,0
60,61,36.5115778,7.611116056,2.896408261,1.631402543,-1.14,0.0,0.0,0.0,16.15698348,35.17066046,117.1,3.374466175,5,1,0,0
61,62,29.8571698,6.548167227,2.138170497,0.991321254,-1.1,0.0,0.0,13.59242839,10.63357721,36.61728163,78.43,0.0,3,1,0,0
62,63,32.1041963,5.523603362,1.523129366,0.878791798,-1.06,0.0,0.0,14.09534397,10.63357721,25.90970342,58.2,0.0,2,0,0,0
63,64,36.1170753,6.523603362,1.688578376,0.952015103,-1.46,0.0,0.0,20.76403515,21.26715442,32.82626418,82.26,0.0,4,0,0,0
64,65,31.9597647,6.86562431,2.11817616,1.329128609,-1.14,0.0,0.0,14.09534397,10.63357721,48.33069099,98.66,0.0,4,2,0,0
65,66,31.3243037,5.548167227,1.546994917,1.016738159,-0.61,0.0,0.0,20.76435149,5.316788604,37.882025,58.56,0.0,2,1,0,1
66,67,28.5136587,6.695941991,1.763849977,1.108481496,-1.59,0.0,0.0,14.21959508,5.316788604,38.61014179,81.7,0.0,1,0,0,2
67,68,27.8733712,5.177923739,2.12671957,1.400248212,-0.61,0.0,0.0,20.19931035,5.316788604,36.87619385,58.56,-1.241319444,2,1,0,1
68,69,32.7090235,6.812257565,2.016940211,1.256186747,-1.14,0.0,5.733667477,14.21959508,5.733667477,43.41054027,98.85,5.122361111,3,1,1,2
69,70,32.8711015,6.812257565,2.016940211,1.256186747,-1.14,0.0,5.733667477,14.21959508,5.733667477,43.41054027,98.85,5.122361111,3,1,1,2
70,71,29.244493,7.751995495,3.301503202,2.475063342,-0.2,0.0,5.917906046,13.71667951,0.0,53.63818758,79.15,0.0,3,3,0,2
71,72,29.3207855,7.751995495,3.301503202,2.475063342,-0.2,0.0,5.917906046,13.71667951,0.0,53.63818758,79.15,0.0,3,3,0,2
