,index,Water_all_overlap_factor_100,SMR_VSA4,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,fr_NH2
75,76,31.1811102,0.0,5.316788604,46.08341748,89.79,-1.061435185,0
76,77,29.4985594,0.0,5.316788604,34.8729237,69.56,0.0,0
77,78,30.4009138,0.0,0.0,50.12617071,90.15,-4.838726852,0
78,79,38.1352603,7.047671983,11.24901029,19.64158408,90.88,-0.789398148,0
79,80,28.0500801,0.0,10.63357721,39.12346735,67.43,0.0,0
80,81,27.7707882,0.0,10.63357721,39.12346735,67.43,0.0,0
81,82,30.5969294,5.733667477,11.05045608,43.90299217,67.59,4.901658872,1
82,83,32.0579227,5.733667477,16.15698348,23.96016668,99.83,4.976578798,2
83,84,34.2044143,23.30314705,11.46733495,24.02229223,95.41,10.3037037,2
84,85,32.6241186,17.67848236,5.84267027,29.03120476,72.63,0.0,1
85,86,29.7238138,0.0,9.799819462,46.57375286,57.58,0.0,0
86,87,32.6210427,0.0,5.316788604,26.75201134,55.63,0.0,0
87,88,30.1997728,0.0,15.95036581,20.00607357,36.09,0.0,0
88,89,31.3879275,0.0,0.0,40.41450987,87.2,0.0,0
89,90,29.2233917,0.0,5.316788604,36.37327827,58.56,0.0,0
90,91,31.2304693,0.0,5.316788604,40.66003485,78.79,0.0,0
91,92,28.7669637,0.0,5.316788604,48.58121105,67.79,0.0,0
92,93,30.4342836,11.83581209,5.316788604,35.57630063,83.55,0.0,0
93,94,29.5646291,11.83581209,5.316788604,35.57630063,83.55,0.0,0
94,95,29.5410086,0.0,0.0,42.04309162,43.7,0.0,0
95,96,32.089926,5.733667477,5.733667477,30.44135868,46.33,5.221203704,1
96,97,28.7013397,0.0,0.0,52.23549588,60.77,0.0,0
97,98,33.1078623,0.0,0.0,25.39439693,82.03,0.0,0
98,99,32.5018106,5.733667477,11.05045608,31.20462532,64.35,4.304097222,1
99,100,32.1346147,5.733667477,5.733667477,45.96334891,95.94,5.277962963,1
100,101,36.9376933,10.91054941,11.21376408,11.49696342,87.71,6.045138889,1
101,102,31.9941325,5.733667477,5.733667477,45.96334891,95.94,5.277962963,1
102,103,30.1035321,5.733667477,11.05045608,31.70754089,64.35,5.341203704,1
103,104,30.3947549,5.733667477,11.05045608,31.70754089,64.35,5.341203704,1
104,105,29.9013791,0.0,5.316788604,57.93148794,92.95,0.0,0
105,106,31.3749526,5.733667477,5.733667477,57.67675827,116.17,5.262470711,1
106,107,31.4876266,5.733667477,5.733667477,57.67675827,116.17,5.262470711,1
107,108,31.9103915,5.733667477,11.05045608,29.70427075,75.35,5.159722222,1
108,109,32.0136019,5.733667477,11.05045608,30.20718632,75.35,5.208472222,1
109,110,33.4276655,5.733667477,11.05045608,21.7823165,100.87,5.411220238,1
110,111,32.3229371,11.46733495,11.46733495,24.65986891,78.34,10.03891204,2
111,112,34.9126664,5.733667477,5.733667477,21.31792844,84.66,5.434814815,1
112,113,29.4583312,11.46733495,11.46733495,49.69696344,81.58,10.52158518,2
113,114,32.1371421,5.733667477,16.15698348,24.59774335,82.76,5.427824074,2
114,115,31.3115094,11.65157352,16.15698348,25.10065893,82.76,5.427824074,2
115,116,30.7866446,5.733667477,5.733667477,46.46626448,95.94,5.187546296,1
116,117,34.8519171,5.733667477,11.21376408,57.71535834,128.2,7.140711451,1
117,118,34.5745645,5.733667477,11.21376408,57.71535834,128.2,7.140711451,1
118,119,34.5739309,5.733667477,11.21376408,57.71535834,128.2,7.140711451,1
119,120,32.1354293,5.733667477,16.15698348,24.59774335,82.76,5.427824074,2
120,121,32.6067532,5.733667477,16.15698348,24.59774335,82.76,5.427824074,2
121,122,32.4619018,5.733667477,16.15698348,24.59774335,82.76,5.440555556,2
122,123,31.2641305,11.65157352,16.15698348,25.10065893,82.76,5.427824074,2
123,124,30.9014393,11.65157352,16.15698348,25.10065893,82.76,5.427824074,2
124,125,30.9372534,5.733667477,5.733667477,46.46626448,95.94,5.187546296,1
125,126,32.2805807,5.733667477,5.733667477,24.04141071,63.32,4.897453704,1
126,127,36.0001415,5.733667477,16.57386235,24.33914747,110.86,8.116856576,1
127,128,36.3676996,5.733667477,16.57386235,24.33914747,110.86,8.116856576,1
128,129,31.8500465,5.733667477,11.05045608,30.20718632,75.35,5.208472222,1
129,130,27.1189288,0.0,0.0,72.49517662,46.94,0.0,0
130,131,32.4447204,5.733667477,11.05045608,31.20462532,64.35,4.304097222,1
131,132,27.5882451,0.0,0.0,72.49517662,46.94,0.0,0
132,133,28.8578704,0.0,0.0,52.23549588,60.77,0.0,0
133,134,31.1728474,0.0,10.63357721,36.61728163,78.43,0.0,0
134,135,33.3619323,0.0,10.63357721,34.48321659,98.66,0.0,0
135,136,32.8944487,0.0,10.63357721,34.48321659,98.66,0.0,0
